id,title,file,width,height,created_at,focal_point_x,focal_point_y,focal_point_width,focal_point_height,uploaded_by_user_id,file_size,collection_id,file_hash
1,Bull.png,original_images/Bull.png,880,914,2021-12-17 09:50:17.833279,,,,,1,412183,1,add8d21edbf0332c99b9f58bf006b9925c0aa1c8
5,Bubble.png,original_images/Bubble.png,7231,5845,2021-12-18 10:08:58.309773,,,,,1,3201764,1,1cea2d6b760e150c6295afce7fc846b02d5f3012
11,Pupuk1.jpg,original_images/Pupuk1.jpg,326,351,2021-12-18 15:32:44.480878,,,,,1,27328,1,1ee099c9e2aa3675ebd9413eb5334ea478012c18
13,Temp-TA.jpg,original_images/Temp-TA.jpg,985,135,2021-12-18 19:53:05.242085,,,,,1,58356,1,37d31d75aaf6246c83bf62d5d18128779a249685
14,Chicken Mentai.jpg,original_images/Chicken_Mentai.jpg,900,600,2022-01-12 09:26:13.633865,,,,,3,322072,1,458d9543ae2667e821b0bcbe1dfdd2dda0f420b2
15,Ayam Utuh.jpg,original_images/Ayam_Utuh.jpg,900,600,2022-01-12 10:03:31.745397,,,,,3,219524,1,fcaad35fab2b2901768984fc0b92af5f6e8b4f3a
16,Ayam Jawa.jpg,original_images/Ayam_Jawa.jpg,900,600,2022-01-12 10:04:57.872395,,,,,3,479333,1,59f25875eb08998b0f837b59f530e898a2eba047
