id,app,name,applied
150,wagtailembeds,0001_initial,2021-12-17 08:17:12.608252
151,wagtailembeds,0002_add_verbose_names,2021-12-17 08:17:12.616252
152,wagtailembeds,0003_capitalizeverbose,2021-12-17 08:17:12.616252
153,wagtailembeds,0004_embed_verbose_name_plural,2021-12-17 08:17:12.632334
154,wagtailembeds,0005_specify_thumbnail_url_max_length,2021-12-17 08:17:12.648353
155,wagtailembeds,0006_add_embed_hash,2021-12-17 08:17:12.660421
156,wagtailembeds,0007_populate_hash,2021-12-17 08:17:12.696614
157,wagtailembeds,0008_allow_long_urls,2021-12-17 08:17:12.770578
158,wagtailembeds,0009_embed_cache_until,2021-12-17 08:17:12.786025
159,wagtailforms,0001_initial,2021-12-17 08:17:13.016902
160,wagtailforms,0002_add_verbose_names,2021-12-17 08:17:13.050866
161,wagtailforms,0003_capitalizeverbose,2021-12-17 08:17:13.080918
162,wagtailforms,0004_add_verbose_name_plural,2021-12-17 08:17:13.105737
163,wagtailredirects,0001_initial,2021-12-17 08:17:13.140701
164,wagtailredirects,0002_add_verbose_names,2021-12-17 08:17:13.200154
165,wagtailredirects,0003_make_site_field_editable,2021-12-17 08:17:13.231931
166,wagtailredirects,0004_set_unique_on_path_and_site,2021-12-17 08:17:13.280917
167,wagtailredirects,0005_capitalizeverbose,2021-12-17 08:17:13.410901
168,wagtailredirects,0006_redirect_increase_max_length,2021-12-17 08:17:13.460812
169,wagtailsearch,0001_initial,2021-12-17 08:17:13.550642
170,wagtailsearch,0002_add_verbose_names,2021-12-17 08:17:13.619947
171,wagtailsearch,0003_remove_editors_pick,2021-12-17 08:17:13.651027
172,wagtailsearch,0004_querydailyhits_verbose_name_plural,2021-12-17 08:17:13.659945
173,wagtailseo,0001_initial,2021-12-17 08:17:13.700194
174,wagtailseo,0002_remove_seosettings_amp_pages,2021-12-17 08:17:13.716016
175,wagtailusers,0001_initial,2021-12-17 08:17:13.760036
176,wagtailusers,0002_add_verbose_name_on_userprofile,2021-12-17 08:17:13.995773
177,wagtailusers,0003_add_verbose_names,2021-12-17 08:17:14.022173
178,wagtailusers,0004_capitalizeverbose,2021-12-17 08:17:14.090922
179,wagtailusers,0005_make_related_name_wagtail_specific,2021-12-17 08:17:14.130985
180,wagtailusers,0006_userprofile_prefered_language,2021-12-17 08:17:14.160104
181,wagtailusers,0007_userprofile_current_time_zone,2021-12-17 08:17:14.190862
182,wagtailusers,0008_userprofile_avatar,2021-12-17 08:17:14.220161
183,wagtailusers,0009_userprofile_verbose_name_plural,2021-12-17 08:17:14.240040
184,wagtailusers,0010_userprofile_updated_comments_notifications,2021-12-17 08:17:14.268172
185,website,0001_initial,2021-12-17 08:17:14.504996
186,website,0002_initial_data,2021-12-17 08:17:14.570408
187,wagtailimages,0001_squashed_0021,2021-12-17 08:17:14.578413
188,wagtailcore,0001_squashed_0016_change_page_url_path_to_text_field,2021-12-17 08:17:14.578413
