id,content_type_id,codename,name
229,58,change_comment,Can change comment
230,58,delete_comment,Can delete comment
231,58,view_comment,Can view comment
232,59,add_commentreply,Can add comment reply
233,59,change_commentreply,Can change comment reply
234,59,delete_commentreply,Can delete comment reply
235,59,view_commentreply,Can view comment reply
236,60,add_pagesubscription,Can add page subscription
237,60,change_pagesubscription,Can change page subscription
238,60,delete_pagesubscription,Can delete page subscription
239,60,view_pagesubscription,Can view page subscription
240,61,add_logentry,Can add log entry
241,61,change_logentry,Can change log entry
242,61,delete_logentry,Can delete log entry
243,61,view_logentry,Can view log entry
244,62,add_permission,Can add permission
245,62,change_permission,Can change permission
246,62,delete_permission,Can delete permission
247,62,view_permission,Can view permission
248,63,add_group,Can add group
249,63,change_group,Can change group
250,63,delete_group,Can delete group
251,63,view_group,Can view group
252,64,add_user,Can add user
253,64,change_user,Can change user
254,64,delete_user,Can delete user
255,64,view_user,Can view user
256,65,add_contenttype,Can add content type
257,65,change_contenttype,Can change content type
258,65,delete_contenttype,Can delete content type
259,65,view_contenttype,Can view content type
260,66,add_session,Can add session
261,66,change_session,Can change session
262,66,delete_session,Can delete session
263,66,view_session,Can view session
