id,label,action,data_json,timestamp,content_changed,deleted,content_type_id,page_id,revision_id,user_id
63,#,wagtail.edit,"""""",2021-12-18 19:53:08.116209,1,0,6,9,33,1
64,#,wagtail.publish,null,2021-12-18 19:53:08.188212,1,0,6,9,33,1
65,Ayam Jawa Retail Restoran,wagtail.create,"""""",2022-01-12 09:59:34.974845,1,0,6,10,,3
66,Ayam Jawa Retail Restoran,wagtail.publish,null,2022-01-12 09:59:35.035410,1,0,6,10,34,3
67,Ayam Jawa Retail Restoran,wagtail.edit,"""""",2022-01-12 09:59:48.007532,1,0,6,10,35,3
68,Ayam Jawa Retail Restoran,wagtail.publish,null,2022-01-12 09:59:48.041540,1,0,6,10,35,3
69,Ayam Jawa Penjagal Retail,wagtail.create,"""""",2022-01-12 10:13:49.063807,1,0,6,11,,3
70,Ayam Jawa Penjagal Retail,wagtail.publish,null,2022-01-12 10:13:49.115616,1,0,6,11,36,3
71,Ayam Jawa Peternak Penjagal,wagtail.edit,"""""",2022-01-12 10:15:59.644933,1,0,6,11,37,3
72,Ayam Jawa Peternak Penjagal,wagtail.rename,"{""title"": {""old"": ""Ayam Jawa Penjagal Retail"", ""new"": ""Ayam Jawa Peternak Penjagal""}}",2022-01-12 10:15:59.681588,0,0,6,11,37,3
73,Ayam Jawa Peternak Penjagal,wagtail.publish,"{""title"": {""old"": ""Ayam Jawa Penjagal Retail"", ""new"": ""Ayam Jawa Peternak Penjagal""}}",2022-01-12 10:15:59.685683,1,0,6,11,37,3
74,Ayam Jawa Peternak Penjagal,wagtail.edit,"""""",2022-01-12 10:16:24.824853,1,0,6,11,38,3
75,Ayam Jawa Peternak Penjagal,wagtail.publish,null,2022-01-12 10:16:24.867863,1,0,6,11,38,3
76,Ayam Jawa Penjagal Retail,wagtail.create,"""""",2022-01-12 10:25:06.931115,1,0,6,12,,3
77,Ayam Jawa Penjagal Retail,wagtail.publish,null,2022-01-12 10:25:06.979604,1,0,6,12,39,3
78,Ayam Jawa Penjagal Retail,wagtail.edit,"""""",2022-01-12 10:25:25.265662,1,0,6,12,40,3
79,Ayam Jawa Penjagal Retail,wagtail.publish,null,2022-01-12 10:25:25.303313,1,0,6,12,40,3
80,Ayam Jawa Retail Restoran,wagtail.edit,"""""",2022-01-12 10:26:16.919610,1,0,6,10,41,3
81,Ayam Jawa Retail Restoran,wagtail.publish,null,2022-01-12 10:26:16.958618,1,0,6,10,41,3
82,#,wagtail.delete,"""""",2022-01-12 10:31:07.947697,0,1,6,9,,3
83,Halaman Web 1,wagtail.delete,"""""",2022-01-12 10:31:14.482744,0,1,6,8,,3
84,Artikel 1,wagtail.delete,"""""",2022-01-12 10:31:18.566767,0,1,11,6,,3
85,Artikel 2,wagtail.delete,"""""",2022-01-12 10:31:18.579800,0,1,11,7,,3
86,Artikel Utama,wagtail.delete,"""""",2022-01-12 10:31:18.582809,0,1,7,5,,3
